"","airline","avail_seat_km_per_week","incidents_85_99","fatal_accidents_85_99","fatalities_85_99","incidents_00_14","fatal_accidents_00_14","fatalities_00_14"
"1","Avianca",396922563,5,3,323,0,0,0
"2","Korean Air",1734522605,12,5,425,1,0,0
"3","Air Canada",1865253802,2,0,0,2,0,0
"4","Air India*",869253552,2,1,329,4,1,158
"5","US Airways / America West*",2455687887,16,7,224,11,2,23
"6","Condor",417982610,2,1,16,0,0,0
"7","El Al",335448023,1,1,4,1,0,0
"8","China Airlines",813216487,12,6,535,2,1,225
"9","Qantas*",1917428984,1,0,0,5,0,0
"10","Malaysia Airlines",1039171244,3,1,34,3,2,537
"11","Garuda Indonesia",613356665,10,3,260,4,2,22
"12","SWISS*",792601299,2,1,229,3,0,0
"13","Sri Lankan / AirLanka",325582976,2,1,14,4,0,0
"14","Virgin Atlantic",1005248585,1,0,0,0,0,0
"15","Gulf Air",301379762,1,0,0,3,1,143
